uuid,answer_UUID,question,chapter,topic,concept,answer,hint,keywords,conceptual_difficulty,comprehension_difficulty,calculation_difficulty,overall_difficulty
142436d4-388c-4a15-9391-f910f8410fec,6ad50e6f-d471-48f4-8c07-ea4b1a64831f,"Given that $x^2 + y^2 = 25$ and $xy = 12$, find the value of $x^4 + y^4$",Algebra,Algebraic Identities,Algebraic Identities-1,"{""question"": ""Given that $x^2 + y^2 = 25$ and $xy = 12$, find the value of $x^4 + y^4$"", ""steps"": [{""explanation"": ""To find the value of $x^4 + y^4$, we can start from what we already know: $x^2 + y^2 = 25$ and $xy = 12$. We will use these to derive our answer."", ""mathematical_explanation"": ""$x^2 + y^2 = 25 \\quad xy = 12$""}, {""explanation"": ""We need an expression for $x^4 + y^4$. Recall the identity $(x^2+y^2)^2 = x^4+2x^2y^2+y^4$. This allows us to express $x^4 + y^4$ in terms of known values."", ""mathematical_explanation"": ""$(x^2+y^2)^2 = x^4 + 2(xy)^2 + y^4$""}, {""explanation"": ""Substitute the given values into the equation derived above. Since we have $x^2 + y^2 = 25$ and $xy = 12$, we can substitute these directly into our identity."", ""mathematical_explanation"": ""\\begin{align*} (25)^2 &= x^4 + 2(12)^2 + y^4 \\\\ 625 &= x^4 + 288 + y^4 \\\\ 337 &= x^4 + y^4 \\end{align*}""}, {""explanation"": ""Thus, after simplifying, we find that $x^4 + y^4 = 337$. This is the final result."", ""mathematical_explanation"": ""$x^4 + y^4 = 337$""}], ""final_answer"": ""337"", ""answers"": [{""answers"": ""$337$"", ""isCorrect"": true}, {""answers"": ""$25$"", ""isCorrect"": false}, {""answers"": ""$12$"", ""isCorrect"": false}, {""answers"": ""$625$"", ""isCorrect"": false}], ""hint"": ""Use the identity $(x^2+y^2)^2 = x^4 + 2(xy)^2 + y^4$ to express $x^4 + y^4$ in terms of the given values."", ""keywords"": [""identity"", ""substitution"", ""algebraic manipulation"", ""powers""]}",,,60,10,15,36.25
d2a0749a-7b92-4743-8938-ca13cf72afb3,04bd4f27-636a-4f43-a692-e26a5f31ac9d,Suppose $p + q = 7$ and $pq = 12$. Determine the value of $p^2 + q^2$.,Algebra,Algebraic Identities,Algebraic Identities-1,"{""question"": ""Suppose $p + q = 7$ and $pq = 12$. Determine the value of $p^2 + q^2$."", ""steps"": [{""explanation"": ""To find the value of $p^2 + q^2$, we can use an algebraic identity that relates this expression to $p+q$ and $pq$. The identity is $p^2 + q^2 = (p+q)^2 - 2pq$. We know from the problem statement that $p+q=7$ and $pq=12$."", ""mathematical_explanation"": ""$p^2 + q^2 = (p+q)^2 - 2pq \\quad \\text{with} \\quad p+q=7 \\quad \\text{and} \\quad pq=12.$""}, {""explanation"": ""Substitute the given values into the equation."", ""mathematical_explanation"": ""$(p+q)^2 - 2pq = 7^2 - 2\\cdot12.$""}, {""explanation"": ""Calculate the result."", ""mathematical_explanation"": ""$49 - 24 = 25.$""}], ""final_answer"": ""25"", ""answers"": [{""answers"": ""25"", ""isCorrect"": true}, {""answers"": ""12"", ""isCorrect"": false}, {""answers"": ""49"", ""isCorrect"": false}, {""answers"": ""30"", ""isCorrect"": false}], ""hint"": ""Use the identity $p^2 + q^2 = (p+q)^2 - 2pq$ with the known values of $p+q$ and $pq$."", ""keywords"": [""identity"", ""substitution"", ""calculation""]}",,,60,10,5,33.75
176ac214-a302-42bb-9d03-82746a8394b8,e3a9b09e-384c-4fdd-b88e-ef2f5caf2458,"If $a+b+c=0$, then find the value of $\frac{a^2+b^2+c^2}{ab+bc+ca}$",Algebra,Algebraic Identities,Algebraic Identities-1,"{""question"": ""If $a+b+c=0$, then find the value of $\\frac{a^2+b^2+c^2}{ab+bc+ca}$"", ""steps"": [{""explanation"": ""We start with the given equation and aim to express the numerator in terms that can help simplify the expression."", ""mathematical_explanation"": ""$a + b + c = 0$ implies that we can use this relation to our advantage. We know that $(a+b+c)^2 = a^2 + b^2 + c^2 + 2(ab + bc + ca)$. Since $a + b + c = 0$, squaring both sides gives us $0 = a^2 + b^2 + c^2 + 2(ab + bc + ca)$.""}, {""explanation"": ""From the previous step, we can isolate the term involving squares on one side of the equation."", ""mathematical_explanation"": ""Rearranging the equation from the first step, we get: \\(a^2 + b^2 + c^2 = -2(ab + bc + ca)\\).""}, {""explanation"": ""Now, substitute the expression for $a^2 + b^2 + c^2$ into the original fraction."", ""mathematical_explanation"": ""\\[\\frac{a^2 + b^2 + c^2}{ab + bc + ca} = \\frac{-2(ab + bc + ca)}{ab + bc + ca}\\]""}, {""explanation"": ""Simplify the fraction by canceling out common terms."", ""mathematical_explanation"": ""\\[-2\\]""}], ""final_answer"": ""-2"", ""answers"": [{""answers"": ""-2"", ""isCorrect"": true}, {""answers"": ""1"", ""isCorrect"": false}, {""answers"": ""0"", ""isCorrect"": false}, {""answers"": ""2"", ""isCorrect"": false}], ""hint"": ""Use the relationship derived from squaring the sum of a, b, and c to express the numerator in terms of ab + bc + ca."", ""keywords"": [""equation"", ""simplification"", ""substitution"", ""cancellation""]}",,,65,10,20,40.0
64475e4d-b475-480b-a087-eec9ee6f3059,ec70a008-424b-4352-8644-a50130377102,"If $a + b = 7$ and $ab = 12$, find the value of $a^2 + b^2$",Algebra,Algebraic Identities,Algebraic Identities-1,"{""question"": ""If $a + b = 7$ and $ab = 12$, find the value of $a^2 + b^2$"", ""steps"": [{""explanation"": ""To solve for $a^2 + b^2$ given that $a + b = 7$ and $ab = 12$, we can use an algebraic identity."", ""mathematical_explanation"": ""\\((a+b)^2 = a^2 + 2ab + b^2\\)""}, {""explanation"": ""We know from the problem statement that $(a+b) = 7$. We can substitute this into our identity to get an equation involving $a^2 + b^2$."", ""mathematical_explanation"": ""(7)^2 = a^2 + 2(12) + b^2""}, {""explanation"": ""Simplifying the right side of the equation gives us a direct way to calculate $a^2 + b^2$ since we already know the values of both $(a+b)$ and $ab$."", ""mathematical_explanation"": ""49 = a^2 + b^2 + 24""}, {""explanation"": ""Finally, solving for $a^2 + b^2$ involves subtracting 24 from both sides of the equation."", ""mathematical_explanation"": ""a^2 + b^2 = 49 - 24 = 25""}], ""final_answer"": ""25"", ""answers"": [{""answers"": ""25"", ""isCorrect"": true}, {""answers"": ""17"", ""isCorrect"": false}, {""answers"": ""30"", ""isCorrect"": false}, {""answers"": ""20"", ""isCorrect"": false}], ""hint"": ""Use the identity \\((a+b)^2 = a^2 + 2ab + b^2\\) with the known values of \\(a+b\\) and \\(ab\\) to find \\(a^2 + b^2\\)."", ""keywords"": [""algebra"", ""identity"", ""quadratic"", ""equation"", ""sum_of_squares""]}",,,60,10,5,33.75
863add74-c4b5-4a49-9865-752106e1442b,35af67c7-93d1-475e-96cd-d2f04029f9f3,"If $x + y = 8$ and $xy = 15$, determine the value of $x^2 + y^2$.",Algebra,Algebraic Identities,Algebraic Identities-1,"{""question"": ""If $x + y = 8$ and $xy = 15$, determine the value of $x^2 + y^2$."", ""steps"": [{""explanation"": ""To find the value of $x^2 + y^2$ given that $x + y = 8$ and $xy = 15$, we can use an algebraic identity."", ""mathematical_explanation"": ""\\( (x + y)^2 = x^2 + y^2 + 2xy \\)""}, {""explanation"": ""We substitute the known values into the equation to solve for $x^2 + y^2$. Since $(x + y) = 8$ and $xy = 15$, we have"", ""mathematical_explanation"": ""\\( 8^2 = x^2 + y^2 + 2\\cdot15 \\)""}, {""explanation"": ""Simplifying this gives us a direct way to calculate $x^2 + y^2$."", ""mathematical_explanation"": ""\\( 64 = x^2 + y^2 + 30 \\)""}, {""explanation"": ""Subtracting 30 from both sides of the equation allows us to isolate $x^2 + y^2$."", ""mathematical_explanation"": ""\\( x^2 + y^2 = 64 - 30 \\)""}, {""explanation"": ""Finally, performing the subtraction yields the desired result."", ""mathematical_explanation"": ""\\( x^2 + y^2 = 34 \\)""}], ""final_answer"": ""34"", ""answers"": [{""answers"": ""$34$"", ""isCorrect"": true}, {""answers"": ""$26$"", ""isCorrect"": false}, {""answers"": ""$46$"", ""isCorrect"": false}, {""answers"": ""$54$"", ""isCorrect"": false}], ""hint"": ""Use the identity \\((x + y)^2 = x^2 + y^2 + 2xy\\) and substitute the given values to find \\(x^2 + y^2\\)."", ""keywords"": [""algebra"", ""identity"", ""equation"", ""substitution"", ""simplification""]}",,,60,10,5,33.75
893a698d-88fd-4f39-8fbe-19101aae9c22,2fb154b4-2d8c-4d3b-8de4-f495633c0747,Let $p + q + r = 0$. Evaluate $\left( \frac{p}{q+r} + \frac{q}{r+p} + \frac{r}{p+q} \right) \left( \frac{q+r}{p} + \frac{r+p}{q} + \frac{p+q}{r} \right)$.,Algebra,Algebraic Identities,Algebraic Identities-1,"{""question"": ""Let $p + q + r = 0$. Evaluate $\\left( \\frac{p}{q+r} + \\frac{q}{r+p} + \\frac{r}{p+q} \\right) \\left( \\frac{q+r}{p} + \\frac{r+p}{q} + \\frac{p+q}{r} \\right)$."", ""steps"": [{""explanation"": ""Given that p + q + r = 0, we can use this condition to simplify the expression."", ""mathematical_explanation"": ""$p + q + r = 0 \\implies q + r = -p$, $r + p = -q$, and $p + q = -r$.""}, {""explanation"": ""Substitute these values into the first part of the given expression."", ""mathematical_explanation"": ""\\begin{align*}\n\\frac{p}{q+r} & = \\frac{p}{-p} = -1, \\\\\n\\frac{q}{r+p} & = \\frac{q}{-q} = -1, \\\\\n\\frac{r}{p+q} & = \\frac{r}{-r} = -1.\n\\end{align*}""}, {""explanation"": ""Therefore, the sum in the first parenthesis simplifies to"", ""mathematical_explanation"": ""-1 - 1 - 1 = -3""}, {""explanation"": ""For the second part, substitute similarly."", ""mathematical_explanation"": ""\\begin{align*}\n\\frac{q+r}{p} & = \\frac{-p}{p} = -1, \\\\\n\\frac{r+p}{q} & = \\frac{-q}{q} = -1, \\\\\n\\frac{p+q}{r} & = \\frac{-r}{r} = -1.\n\\end{align*}""}, {""explanation"": ""Thus, the sum in the second parenthesis also equals"", ""mathematical_explanation"": ""-1 - 1 - 1 = -3""}, {""explanation"": ""Multiplying both simplified parts together gives us the final answer."", ""mathematical_explanation"": ""(-3)(-3) = 9""}], ""final_answer"": ""9"", ""answers"": [{""answers"": ""9"", ""isCorrect"": true}, {""answers"": ""-9"", ""isCorrect"": false}, {""answers"": ""6"", ""isCorrect"": false}, {""answers"": ""3"", ""isCorrect"": false}], ""hint"": ""Use the condition p + q + r = 0 to simplify each fraction in the expression."", ""keywords"": [""mathematics"", ""equation"", ""simplification"", ""expression""]}",,,45,10,20,30.0
d0c06b9f-9b91-4930-bea5-65680a26996a,a46b279f-5b7c-4ab6-ac44-8401f45d244c,"If $m + n + o = 0$, simplify $m^2 + n^2 + o^2$.",Algebra,Algebraic Identities,Algebraic Identities-1,"{""question"": ""If $m + n + o = 0$, simplify $m^2 + n^2 + o^2$."", ""steps"": [{""explanation"": ""To simplify the expression $m^2 + n^2 + o^2$ given that $m + n + o = 0$, we can use algebraic identities."", ""mathematical_explanation"": ""\\text{Given: } m+n+o=0 \\Rightarrow (m+n+o)^2 = 0 \\\\ \\text{Expanding the square gives us: } m^2 + n^2 + o^2 + 2mn + 2no + 2mo = 0""}, {""explanation"": ""From the expansion of $(m+n+o)^2$, we can isolate $m^2 + n^2 + o^2$. We know from the original equation that $2mn + 2no + 2mo$ must be equal to $-(m^2 + n^2 + o^2)$ for the whole expression to equal zero."", ""mathematical_explanation"": ""-(m^2 + n^2 + o^2) + 2(mn + no + mo) = 0 \\\\[5pt] \\Rightarrow - (m^2 + n^2 + o^2) = -2(mn + no + mo)""}, {""explanation"": ""By rearranging this equation, we find that $m^2 + n^2 + o^2$ is twice the negative sum of the products of each pair of variables."", ""mathematical_explanation"": ""m^2 + n^2 + o^2 = 2(mn + no + mo)""}, {""explanation"": ""Since we started with $(m+n+o)^2 = 0$, and knowing the expanded form equals zero implies all terms together balance out to zero, specifically $m^2 + n^2 + o^2$ must compensate exactly for the double product terms which sum up to their negative value."", ""mathematical_explanation"": ""\\text{Thus, since } mn + no + mo = -(m^2 + n^2 + o^2)/2 \\text{, substituting back into the simplified form yields} \\\\ m^2 + n^2 + o^2 = -2(-(m^2 + n^2 + o^2)/2) = m^2 + n^2 + o^2.""}, {""explanation"": ""However, there's a more direct simplification possible using the initial squared term identity directly; subtracting twice the sum of products from both sides of the expanded form reveals the simpler relationship."", ""mathematical_explanation"": ""(m+n+o)^2 = m^2 + n^2 + o^2 + 2(mn + no + mo) = 0 \\\\[5pt] \\Rightarrow m^2 + n^2 + o^2 = -2(mn + no + mo) \\\\[5pt] \\Rightarrow m^2 + n^2 + o^2 = -(-m^2 - n^2 - o^2) \\\\[5pt] \\Rightarrow m^2 + n^2 + o^2 = |m^2 + n^2 + o^2|""}, {""explanation"": ""The key insight here is recognizing that $-2(mn + no + mo)$ actually represents the subtraction of two times the cross terms, leading us to conclude that without specific values for $m$, $n$, and $o$, but knowing they sum to zero, $m^2 + n^2 + o^2$ simply stands as its own positive equivalent under these conditions."", ""mathematical_explanation"": ""\\therefore m^2 + n^2 + o^2 = -(-m^2 - n^2 - o^2) = m^2 + n^2 + o^2 = 2(m^2 + n^2 + o^2)/2 = 2((m+n+o)^2/2 - (mn + no + mo)) \\\\[5pt] \\Rightarrow m^2 + n^2 + o^2 = -2(-(m^2 + n^2 + o^2)/2) = m^2 + n^2 + o^2 = 2|m^2 + n^2 + o^2|/(2) = m^2 + n^2 + o^2""}, {""explanation"": ""In conclusion, realizing the initial condition allows us to simplify our target expression directly based on the relation between the sum of squares and the doubled cross-product terms under the constraint $m + n + o = 0$, leading us to express it in terms of itself minus those cross-products, ultimately simplifying to an expression of its absolute value or just itself under the given context."", ""mathematical_explanation"": ""\\boxed{-2(mn + no + mo)} \\Rightarrow \\boxed{m^2 + n^2 + o^2} = \\boxed{|m^2 + n^2 + o^2|}""}], ""final_answer"": ""-2(mn + no + mo)"", ""answers"": [{""answers"": ""$-2(mn + no + mo)$"", ""isCorrect"": true}, {""answers"": ""$mn + no + mo$"", ""isCorrect"": false}, {""answers"": ""$m + n + o$"", ""isCorrect"": false}, {""answers"": ""$0$"", ""isCorrect"": false}], ""hint"": ""Consider how squaring the sum of m, n, and o can help you relate the sum of their squares to the sum of their pairwise products."", ""keywords"": [""simplification"", ""algebraic identities"", ""sum of squares"", ""cross-product terms"", ""absolute value""]}",,,60,5,20,36.25
f25a043c-b383-4f7b-b25d-a8e582608af5,e6b0198c-a0fb-49bc-b11f-dcf1a78667ef,"Given that $x^2 + y^2 = 25$ and $xy = 12$, find the value of $(x-y)^2$",Algebra,Algebraic Identities,Algebraic Identities-1,"{""question"": ""Given that $x^2 + y^2 = 25$ and $xy = 12$, find the value of $(x-y)^2$"", ""steps"": [{""explanation"": ""We want to find the value of \\((x - y)^2\\). We can use the given equations to express this in terms of known quantities."", ""mathematical_explanation"": ""\\((x - y)^2 = x^2 - 2xy + y^2\\)""}, {""explanation"": ""From the problem statement, we know that \\(x^2 + y^2 = 25\\) and \\(xy = 12\\). Substitute these into our equation for \\((x - y)^2\\)."", ""mathematical_explanation"": ""\\(= x^2 + y^2 - 2xy = 25 - 2(12)\\)""}, {""explanation"": ""Now we just need to perform the arithmetic calculation to get the final result."", ""mathematical_explanation"": ""\\(= 25 - 24 = 1\\)""}], ""final_answer"": ""1"", ""answers"": [{""answers"": ""1"", ""isCorrect"": true}, {""answers"": ""9"", ""isCorrect"": false}, {""answers"": ""16"", ""isCorrect"": false}, {""answers"": ""25"", ""isCorrect"": false}], ""hint"": ""Substitute the values of \\(x^2 + y^2\\) and \\(xy\\) from the problem statement into the expanded form of \\((x - y)^2\\)."", ""keywords"": [""equation"", ""substitution"", ""arithmetic""]}",,,50,10,5,28.75
c3e89fdc-4460-4c18-9990-671ecaa9a23f,4927be29-cbda-4cd6-8489-4e575f2f0f71,"If $m+n=10$ and $mn=24$, determine the value of $\frac{m^2 + n^2}{mn}$.",Algebra,Algebraic Identities,Algebraic Identities-1,"{""question"": ""If $m+n=10$ and $mn=24$, determine the value of $\\frac{m^2 + n^2}{mn}$."", ""steps"": [{""explanation"": ""To solve for \\(\\frac{m^2 + n^2}{mn}\\) given that \\(m + n = 10\\) and \\(mn = 24\\), we first need to express \\(m^2 + n^2\\) in terms of \\(m + n\\) and \\(mn\\)."", ""mathematical_explanation"": ""\\text{We know from algebraic identities that:}\\\\ m^2 + n^2 = (m+n)^2 - 2mn.""}, {""explanation"": ""Substitute the values provided into this identity."", ""mathematical_explanation"": ""(m+n)^2 - 2mn = 10^2 - 2 \\times 24""}, {""explanation"": ""Calculate the expression to find the value of \\(m^2 + n^2\\)."", ""mathematical_explanation"": ""= 100 - 48 = 52""}, {""explanation"": ""Now substitute both \\(m^2 + n^2\\) and \\(mn\\) back into the original equation to find the final answer."", ""mathematical_explanation"": ""\\frac{m^2 + n^2}{mn} = \\frac{52}{24}""}, {""explanation"": ""Simplify the fraction if possible."", ""mathematical_explanation"": ""= \\frac{13}{6}""}], ""final_answer"": ""\\frac{13}{6}"", ""answers"": [{""answers"": ""$\\frac{13}{6}$"", ""isCorrect"": true}, {""answers"": ""$\\frac{10}{6}$"", ""isCorrect"": false}, {""answers"": ""$\\frac{24}{10}$"", ""isCorrect"": false}, {""answers"": ""$\\frac{52}{24}$"", ""isCorrect"": false}], ""hint"": ""Use the identity $m^2 + n^2 = (m+n)^2 - 2mn$ to express $m^2 + n^2$ in terms of the given $m+n$ and $mn$, then substitute the known values."", ""keywords"": [""algebra"", ""identity"", ""substitution"", ""simplification""]}",,,65,10,30,42.5
4699408c-7d3e-4818-8ddc-df473aada7e4,5ed3e017-6567-4319-b78d-88ce771eb46d,"Given that $x+y=10$ and $xy=21$, find the value of $\frac{x^2 + y^2}{x+y}$",Algebra,Algebraic Identities,Algebraic Identities-1,"{""question"": ""Given that $x+y=10$ and $xy=21$, find the value of $\\frac{x^2 + y^2}{x+y}$"", ""steps"": [{""explanation"": ""To solve this problem, we first need to express $x^2 + y^2$ in terms of $x + y$ and $xy$. We know from algebraic identities that $(x + y)^2 = x^2 + 2xy + y^2$. Rearranging gives us an expression for $x^2 + y^2$."", ""mathematical_explanation"": ""$$(x + y)^2 = x^2 + 2xy + y^2 \\implies x^2 + y^2 = (x + y)^2 - 2xy$$""}, {""explanation"": ""Substitute the given values into the equation derived above: $x + y = 10$ and $xy = 21$. Then calculate $x^2 + y^2$."", ""mathematical_explanation"": ""$$x^2 + y^2 = (10)^2 - 2(21) = 100 - 42 = 58$$""}, {""explanation"": ""Now, divide $x^2 + y^2$ by $x + y$ as per the original question."", ""mathematical_explanation"": ""$$\\frac{x^2 + y^2}{x+y} = \\frac{58}{10} = 5.8$$""}], ""final_answer"": ""5.8"", ""answers"": [{""answers"": ""\\frac{58}{10}"", ""isCorrect"": true}, {""answers"": ""\\frac{42}{10}"", ""isCorrect"": false}, {""answers"": ""\\frac{79}{10}"", ""isCorrect"": false}, {""answers"": ""\\frac{31}{10}"", ""isCorrect"": false}], ""hint"": ""Use the identity \u201c(x + y)\u00b2 = x\u00b2 + 2xy + y\u00b2\u201d to find x\u00b2 + y\u00b2, then divide it by x + y."", ""keywords"": [""expression"", ""substitution"", ""calculation"", ""division""]}",,,55,10,15,33.75
baf19df1-ed3f-4fbc-b32d-59c4259d32cf,83c15ac5-d080-4bc3-a172-80112b684bbf,"Given that $x+y+z=10$ and $xy+yz+zx=24$, find the value of $x^3+y^3+z^3-3xyz$",Algebra,Algebraic Identities,Algebraic Identities-1,"{""question"": ""Given that $x+y+z=10$ and $xy+yz+zx=24$, find the value of $x^3+y^3+z^3-3xyz$"", ""steps"": [{""explanation"": ""To solve this problem, we will use an algebraic identity to express $x^3 + y^3 + z^3 - 3xyz$ in terms of sums and products of $x$, $y$, and $z$. This approach simplifies our calculations given the information provided."", ""mathematical_explanation"": ""$x^3 + y^3 + z^3 - 3xyz = (x+y+z)(x^2 + y^2 + z^2 - xy - yz - zx)$""}, {""explanation"": ""We already know from the problem statement that $x+y+z=10$ and $xy+yz+zx=24$. We need to calculate $x^2 + y^2 + z^2 - xy - yz - zx$. To do so, let's first find $x^2 + y^2 + z^2$ using another known formula."", ""mathematical_explanation"": ""$x^2 + y^2 + z^2 = (x+y+z)^2 - 2(xy + yz + zx) = 10^2 - 2 \\times 24 = 100 - 48 = 52$.""}, {""explanation"": ""Now, substitute the values into the expression for $x^2 + y^2 + z^2 - xy - yz - zx$: $x^2 + y^2 + z^2 - xy - yz - zx = 52 - 24 = 28$"", ""mathematical_explanation"": ""$x^2 + y^2 + z^2 - xy - yz - zx = 52 - 24 = 28$""}, {""explanation"": ""Finally, substitute all the calculated values back into the original identity: $(x+y+z)(x^2 + y^2 + z^2 - xy - yz - zx) = 10 \\times 28 = 280$"", ""mathematical_explanation"": ""$(x+y+z)(x^2 + y^2 + z^2 - xy - yz - zx) = 10 \\times 28 = 280$""}], ""final_answer"": ""280"", ""answers"": [{""answers"": ""280"", ""isCorrect"": true}, {""answers"": ""160"", ""isCorrect"": false}, {""answers"": ""320"", ""isCorrect"": false}, {""answers"": ""240"", ""isCorrect"": false}], ""hint"": ""Use the identity $x^3 + y^3 + z^3 - 3xyz = (x+y+z)(x^2 + y^2 + z^2 - xy - yz - zx)$ and substitute the known values."", ""keywords"": [""identity"", ""algebraic"", ""expression"", ""simplification"", ""calculation"", ""substitution""]}",,,75,10,25,46.25
ec2ca579-ff79-4a84-bfe5-2fa9fc22a4b9,d2ebe721-cbb1-471e-bc18-06c3c06b51e7,"If $m - n = 4$ and $mn = 21$, find the value of $m^2 + n^2$.",Algebra,Algebraic Identities,Algebraic Identities-1,"{""question"": ""If $m - n = 4$ and $mn = 21$, find the value of $m^2 + n^2$."", ""steps"": [{""explanation"": ""To solve for $m^2 + n^2$, we can use an algebraic identity that relates $m^2 + n^2$ to $(m-n)^2$ and $mn$. This approach avoids directly solving for $m$ and $n$, which could be more complex."", ""mathematical_explanation"": ""\\( m^2 + n^2 = (m-n)^2 + 2mn \\)""}, {""explanation"": ""Given that $m - n = 4$ and $mn = 21$, substitute these values into the equation derived in the previous step."", ""mathematical_explanation"": ""\\( m^2 + n^2 = (4)^2 + 2\\times21 \\)""}, {""explanation"": ""Calculate the expression on the right-hand side to find the value of $m^2 + n^2$."", ""mathematical_explanation"": ""\\( m^2 + n^2 = 16 + 42 = 58 \\)""}], ""final_answer"": ""58"", ""answers"": [{""answers"": ""$58$"", ""isCorrect"": true}, {""answers"": ""$40$"", ""isCorrect"": false}, {""answers"": ""$70$"", ""isCorrect"": false}, {""answers"": ""$34$"", ""isCorrect"": false}], ""hint"": ""Use the identity $m^2 + n^2 = (m-n)^2 + 2mn$ and substitute the given values."", ""keywords"": [""identity"", ""substitution"", ""calculation""]}",,,60,10,5,33.75
993b7a70-5bce-4a00-89f8-251b7ffe6835,b28ca6a2-0d0a-4ec6-8fdd-62b1b0693e5e,Simplify the expression $$(a+b)^3 - (a-b)^3.$$,Algebra,Algebraic Identities,Algebraic Identities-1,"{""question"": ""Simplify the expression $$(a+b)^3 - (a-b)^3.$$"", ""steps"": [{""explanation"": ""To simplify the given expression \\((a+b)^3 - (a-b)^3\\), we can use the algebraic identities for cubes."", ""mathematical_explanation"": ""$$(a+b)^3 = a^3 + b^3 + 3ab(a+b)$$ and $$(a-b)^3 = a^3 - b^3 - 3ab(a-b).$$""}, {""explanation"": ""Expand both parts of the expression using their respective cube formulas."", ""mathematical_explanation"": ""$$(a+b)^3 - (a-b)^3 = \\left( a^3 + b^3 + 3ab(a+b) \\right) - \\left( a^3 - b^3 - 3ab(a-b) \\right).$$""}, {""explanation"": ""Distribute the negative sign in the second part of the subtraction and combine like terms."", ""mathematical_explanation"": ""$$= a^3 + b^3 + 3ab(a+b) - a^3 + b^3 + 3ab(a-b).$$""}, {""explanation"": ""Notice that \\(a^3\\) cancels out with \\(-a^3\\) and combine all similar terms."", ""mathematical_explanation"": ""$$= b^3 + b^3 + 3ab(a+b) + 3ab(a-b) = 2b^3 + 3ab(a+b+a-b).$$""}, {""explanation"": ""Simplify inside the parentheses to get the final simplified form."", ""mathematical_explanation"": ""$$= 2b^3 + 3ab(2a) = 2b^3 + 6a^2b.$$""}], ""final_answer"": ""2b^3 + 6a^2b"", ""answers"": [{""answers"": ""2b^3 + 6a^2b"", ""isCorrect"": true}, {""answers"": ""2a^3 + 6ab^2"", ""isCorrect"": false}, {""answers"": ""8a^3"", ""isCorrect"": false}, {""answers"": ""2a^3 - 6ab^2"", ""isCorrect"": false}], ""hint"": ""Use the cube expansion formulas for \\\\( (a+b)^3 \\\\) and \\\\( (a-b)^3 \\\\) to start simplifying the expression."", ""keywords"": [""simplification"", ""cubes"", ""algebraic identities"", ""expansion"", ""combination of like terms""]}",,,45,5,55,37.5
